Score,Year,Grade,Grade_Year,Subject,Group
255,2014,6,6th - 2014,ELA,Holdover
293,2014,6,6th - 2014,ELA,Holdover
301,2014,6,6th - 2014,ELA,Holdover
299,2014,6,6th - 2014,ELA,Holdover
297,2014,6,6th - 2014,ELA,Holdover
317,2014,6,6th - 2014,ELA,Holdover
320,2014,6,6th - 2014,ELA,Holdover
309,2015,6,6th - 2015,ELA,Holdover
317,2015,6,6th - 2015,ELA,Holdover
317,2015,6,6th - 2015,ELA,Holdover
312,2015,6,6th - 2015,ELA,Holdover
338,2015,6,6th - 2015,ELA,Holdover
322,2015,6,6th - 2015,ELA,Holdover
331,2015,6,6th - 2015,ELA,Holdover
305,2016,7,7th - 2016,ELA,Holdover
337,2016,7,7th - 2016,ELA,Holdover
324,2016,7,7th - 2016,ELA,Holdover
327,2016,7,7th - 2016,ELA,Holdover
318,2016,7,7th - 2016,ELA,Holdover
337,2016,7,7th - 2016,ELA,Holdover
324,2016,7,7th - 2016,ELA,Holdover
316,2017,8,8th - 2017,ELA,Holdover
361,2017,8,8th - 2017,ELA,Holdover
317,2017,8,8th - 2017,ELA,Holdover
343,2017,8,8th - 2017,ELA,Holdover
317,2017,8,8th - 2017,ELA,Holdover
316,2017,8,8th - 2017,ELA,Holdover
323,2017,8,8th - 2017,ELA,Holdover
306,2014,6,6th - 2014,Math,Holdover
310,2014,6,6th - 2014,Math,Holdover
341,2014,6,6th - 2014,Math,Holdover
318,2014,6,6th - 2014,Math,Holdover
330,2014,6,6th - 2014,Math,Holdover
326,2014,6,6th - 2014,Math,Holdover
332,2014,6,6th - 2014,Math,Holdover
342,2015,6,6th - 2015,Math,Holdover
324,2015,6,6th - 2015,Math,Holdover
332,2015,6,6th - 2015,Math,Holdover
345,2015,6,6th - 2015,Math,Holdover
340,2015,6,6th - 2015,Math,Holdover
353,2015,6,6th - 2015,Math,Holdover
347,2015,6,6th - 2015,Math,Holdover
333,2016,7,7th - 2016,Math,Holdover
354,2016,7,7th - 2016,Math,Holdover
313,2016,7,7th - 2016,Math,Holdover
337,2016,7,7th - 2016,Math,Holdover
334,2016,7,7th - 2016,Math,Holdover
342,2016,7,7th - 2016,Math,Holdover
352,2016,7,7th - 2016,Math,Holdover
317,2017,8,8th - 2017,Math,Holdover
322,2017,8,8th - 2017,Math,Holdover
307,2017,8,8th - 2017,Math,Holdover
333,2017,8,8th - 2017,Math,Holdover
317,2017,8,8th - 2017,Math,Holdover
321,2017,8,8th - 2017,Math,Holdover
337,2017,8,8th - 2017,Math,Holdover
289,2014,6,6th - 2014,ELA,All Students
302,2014,6,6th - 2014,ELA,All Students
325,2014,6,6th - 2014,ELA,All Students
292,2014,6,6th - 2014,ELA,All Students
309,2014,6,6th - 2014,ELA,All Students
307,2014,6,6th - 2014,ELA,All Students
286,2014,6,6th - 2014,ELA,All Students
325,2014,6,6th - 2014,ELA,All Students
317,2014,6,6th - 2014,ELA,All Students
312,2014,6,6th - 2014,ELA,All Students
294,2014,6,6th - 2014,ELA,All Students
299,2014,6,6th - 2014,ELA,All Students
309,2014,6,6th - 2014,ELA,All Students
309,2014,6,6th - 2014,ELA,All Students
317,2014,6,6th - 2014,ELA,All Students
297,2014,6,6th - 2014,ELA,All Students
307,2014,6,6th - 2014,ELA,All Students
302,2014,6,6th - 2014,ELA,All Students
304,2014,6,6th - 2014,ELA,All Students
330,2014,6,6th - 2014,ELA,All Students
317,2014,6,6th - 2014,ELA,All Students
340,2014,6,6th - 2014,ELA,All Students
307,2014,6,6th - 2014,ELA,All Students
327,2014,6,6th - 2014,ELA,All Students
337,2014,6,6th - 2014,ELA,All Students
325,2014,6,6th - 2014,ELA,All Students
327,2014,6,6th - 2014,ELA,All Students
330,2014,6,6th - 2014,ELA,All Students
330,2014,6,6th - 2014,ELA,All Students
337,2014,6,6th - 2014,ELA,All Students
322,2014,6,6th - 2014,ELA,All Students
322,2014,6,6th - 2014,ELA,All Students
317,2014,6,6th - 2014,ELA,All Students
317,2014,6,6th - 2014,ELA,All Students
317,2014,6,6th - 2014,ELA,All Students
309,2014,6,6th - 2014,ELA,All Students
304,2014,6,6th - 2014,ELA,All Students
309,2014,6,6th - 2014,ELA,All Students
314,2014,6,6th - 2014,ELA,All Students
333,2014,6,6th - 2014,ELA,All Students
355,2014,6,6th - 2014,ELA,All Students
335,2014,6,6th - 2014,ELA,All Students
317,2014,6,6th - 2014,ELA,All Students
327,2014,6,6th - 2014,ELA,All Students
292,2014,6,6th - 2014,ELA,All Students
361,2014,6,6th - 2014,ELA,All Students
327,2014,6,6th - 2014,ELA,All Students
292,2014,6,6th - 2014,ELA,All Students
325,2014,6,6th - 2014,ELA,All Students
337,2014,6,6th - 2014,ELA,All Students
364,2014,6,6th - 2014,ELA,All Students
330,2014,6,6th - 2014,ELA,All Students
347,2014,6,6th - 2014,ELA,All Students
333,2014,6,6th - 2014,ELA,All Students
317,2014,6,6th - 2014,ELA,All Students
320,2014,6,6th - 2014,ELA,All Students
346,2014,6,6th - 2014,ELA,All Students
307,2014,6,6th - 2014,ELA,All Students
337,2014,6,6th - 2014,ELA,All Students
356,2014,6,6th - 2014,ELA,All Students
346,2014,6,6th - 2014,ELA,All Students
340,2014,6,6th - 2014,ELA,All Students
351,2014,6,6th - 2014,ELA,All Students
333,2014,6,6th - 2014,ELA,All Students
322,2014,6,6th - 2014,ELA,All Students
322,2014,6,6th - 2014,ELA,All Students
347,2014,6,6th - 2014,ELA,All Students
332,2014,6,6th - 2014,ELA,All Students
330,2014,6,6th - 2014,ELA,All Students
320,2014,6,6th - 2014,ELA,All Students
327,2014,6,6th - 2014,ELA,All Students
320,2014,6,6th - 2014,ELA,All Students
325,2014,6,6th - 2014,ELA,All Students
312,2014,6,6th - 2014,ELA,All Students
325,2014,6,6th - 2014,ELA,All Students
301,2014,6,6th - 2014,ELA,All Students
302,2014,6,6th - 2014,ELA,All Students
304,2014,6,6th - 2014,ELA,All Students
330,2014,6,6th - 2014,ELA,All Students
312,2014,6,6th - 2014,ELA,All Students
322,2014,6,6th - 2014,ELA,All Students
322,2014,6,6th - 2014,ELA,All Students
314,2014,6,6th - 2014,ELA,All Students
294,2014,6,6th - 2014,ELA,All Students
255,2014,6,6th - 2014,ELA,All Students
314,2014,6,6th - 2014,ELA,All Students
299,2014,6,6th - 2014,ELA,All Students
304,2014,6,6th - 2014,ELA,All Students
320,2014,6,6th - 2014,ELA,All Students
340,2014,6,6th - 2014,ELA,All Students
307,2014,6,6th - 2014,ELA,All Students
327,2014,6,6th - 2014,ELA,All Students
302,2014,6,6th - 2014,ELA,All Students
314,2014,6,6th - 2014,ELA,All Students
320,2014,6,6th - 2014,ELA,All Students
327,2014,6,6th - 2014,ELA,All Students
322,2014,6,6th - 2014,ELA,All Students
320,2014,6,6th - 2014,ELA,All Students
306,2014,6,6th - 2014,ELA,All Students
327,2014,6,6th - 2014,ELA,All Students
327,2014,6,6th - 2014,ELA,All Students
330,2014,6,6th - 2014,ELA,All Students
322,2014,6,6th - 2014,ELA,All Students
299,2014,6,6th - 2014,ELA,All Students
327,2014,6,6th - 2014,ELA,All Students
346,2014,6,6th - 2014,ELA,All Students
297,2014,6,6th - 2014,ELA,All Students
330,2014,6,6th - 2014,ELA,All Students
346,2014,6,6th - 2014,ELA,All Students
307,2014,6,6th - 2014,ELA,All Students
312,2014,6,6th - 2014,ELA,All Students
347,2014,6,6th - 2014,ELA,All Students
330,2014,6,6th - 2014,ELA,All Students
299,2014,6,6th - 2014,ELA,All Students
330,2014,6,6th - 2014,ELA,All Students
320,2014,6,6th - 2014,ELA,All Students
309,2014,6,6th - 2014,ELA,All Students
333,2014,6,6th - 2014,ELA,All Students
322,2014,6,6th - 2014,ELA,All Students
